###################
# Borsa Italiana
###################

# BTP

"IT0005425233.MOT","Btp Tf 1,7% St51 Eur","borsaitaliana"
"IT0005547408.MOT","Btp Valore Gn27 Eur","borsaitaliana"
"IT0005565400.MOT","Btp Valore Sc Oct28 Eur","borsaitaliana"
"IT0005583486.MOT","Btp Valore Sc Mz30 Eur","borsaitaliana"
"IT0005594483.MOT","Btp Valore Sc Mg30 Eur","borsaitaliana"
"IT0005672024.MOT","Btp Valore Sc Ot32 Eur","borsaitaliana"
"IT0005696338.MOT","Btp Valore Sc Mar32 Eur","borsaitaliana"

"IT0005217770.MOT","Btp Italia Ot24 Eur","borsaitaliana"
"IT0005332835.MOT","Btp Italia Mg26 Eur","borsaitaliana"
"IT0005388175.MOT","Btp Italia Ot27 Eur","borsaitaliana"
"IT0005410912.MOT","Btp Italia Mg25 Eur","borsaitaliana"
"IT0005497000.MOT","Btp Italia Gn30 Eur","borsaitaliana"
"IT0005517195.MOT","Btp Italia Nv28 Eur","borsaitaliana"
"IT0005532723.MOT","Btp Italia Mz28 Eur","borsaitaliana"
"IT0005648255.MOT","Btp Italia Jun32 Eur","borsaitaliana"

"IT0005083057.MOT","Btp Tf 3,25% St46 Eur","borsaitaliana"
"IT0005367492.MOT","Btp Tf 1,75% Lg24 Eur","borsaitaliana"
"IT0005403396.MOT","Btp Tf 0,95% Ag30 Eur","borsaitaliana"
"IT0005437147.MOT","Btp Tf 0% Ap26 Eur","borsaitaliana"
"IT0005474330.MOT","Btp Tf 0% Dc24 Eur","borsaitaliana"
"IT0005484552.MOT","Btp Tf 1,1% Ap27 Eur","borsaitaliana"
"IT0005494239.MOT","Btp Tf 2,5% Dc32 Eur","borsaitaliana"
"IT0005499311.MOT","Btp Tf 1,75% Mg24 Eur","borsaitaliana"
"IT0005530032.MOT","Btp Tf 4,45% St43 Eur","borsaitaliana"

"IT0005246134.MOT","Btpi Tf 1,30% Mg28 Eur","borsaitaliana"
"IT0005543803.MOT","Btpi Tf 1.5% Mg29 Eur","borsaitaliana"

"IT0005582421.MOT","Btp Fx 4.15% Oct39 Eur","borsaitaliana"
"IT0005611741.MOT","Btp Fx 4.3% Oct54 Eur","borsaitaliana"
"IT0005619546.MOT","Btp Fx 3.15% Nov31 Eur","borsaitaliana"

"IT0003934657.MOT","Btp-1fb37 4% Eur","borsaitaliana"
"IT0005425761.MOT","Btp Futura Nv28 Eur","borsaitaliana"
"IT0005559817.MOT","Bot Zc Ag24 A Eur","borsaitaliana"
"IT0005631608.MOT","Btp Green Fx 4.1% Apr46 Eur","borsaitaliana"
"IT0005634800.MOT","Btp Piu' Sc Fb33 Eur","borsaitaliana"
